vehiculo_marca;vehiculo_modelo;vehiculo_traccion;vehiculo_id;vehiculo_cilindrada;vehiculo_potencia;vehiculo_tipo_transmision;vehiculo_tipo_combustible;vehiculo_standard_emision;lca_numero;fecha_firma;ensayo_gei_numero;ensayo_gei_laboratorio;emision_CO2;consumo_urbano;consumo_extraurbano;consumo_mixto;id_etiqueta
ALFA ROMEO;BERLINA;4x2;ALFA ROMEO 55273835;1995;;AUTOMÁTICA;NAFTA;EURO VI;;9/8/2017;F0621/2/BO;CENTRO PROVA AUTOVEICOLI BOLOGNA;199.7;12.94;6.12;8.65;000183B
ALFA ROMEO;BERLINA;4x2;ALFA ROMEO 670050436;2891;;AUTOMÁTICA;NAFTA;EURO VI b;;19/7/2017;G0415/2/BO;CENTRO PROVA AUTOVEICOLI BOLOGNA;187.98;12.42;5.72;8.15;000196B
ALFA ROMEO;BERLINA;4x2 - 4x4;ALFA ROMEO 55273835;1995;;AUTOMÁTICA;NAFTA;EURO VI b;;9/10/2017;G0680/2/BO;CENTRO PROVA AUTOVEICOLI BOLOGNA;149.14;9.04;5.00;6.47;000205B
ALFA ROMEO;BERLINA 4 PUERTAS Y PORTÓN TRASERO;4x4;ALFA ROMEO 670051007;2891;;AUTOMÁTICA;NAFTA;EURO VI;2;5/4/2018;H0721/2/BO;CENTRO PROVA AUTOVEICOLI BOLOGNA;210.21;11.76;7.56;9.09;000211B
AUDI;SEDÁN 4 PUERTAS;4X4;AUDI DLZA;2995;;AUTOMÁTICA;NAFTA;EURO VI b;118;15/8/2018;AUA5475B;ATE-EL LUXEMBOURG;167;9.6;6.0;7.4;000042A
AUDI;SEDÁN 4 PUERTAS CON PORTÓN TRASERO;4X4;AUDI DLZA;2995;;AUTOMÁTICA;NAFTA;EURO VI b;118;15/8/2018;AUA5475B;ATE-EL LUXEMBOURG;168;9.6;6.1;7.4;000043A
AUDI;SEDÁN 4 PUERTAS;4x2;AUDI DEMA / VALEO IST60S;1984;;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI c;154;21/9/2018;AUA5387A;ATE-EL LUXEMBOURG;131;7.3;4.9;5.8;000077A
AUDI;RURAL 4 PUERTAS CON PORTÓN TRASERO;4x2;AUDI DEMA / VALEO IST60S;1984;;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI c;154;21/9/2018;AUA5387A;ATE-EL LUXEMBOURG;136;7.4;5.1;6.0;000078A
AUDI;SEDÁN 4 PUERTAS CON PORTÓN TRASERO;4x2;AUDI DEMA / VALEO IST60S;1984;;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI c;154;21/9/2018;AUA5387A;ATE-EL LUXEMBOURG;132;7.2;4.9;5.7;000079A
AUDI;COUPÉ 2 PUERTAS;4x2;AUDI DEMA / VALEO IST60S;1984;;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI c;154;21/9/2018;AUA5387A;ATE-EL LUXEMBOURG;131;7.2;4.9;5.8;000080A
AUDI;COUPÉ CONVERTIBLE 2 PUERTAS;4x2;AUDI DEMA / VALEO IST60S;1984;;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI c;154;21/9/2018;AUA5387A;ATE-EL LUXEMBOURG;139;7.6;5.3;6.1;000081A
AUDI;SEDÁN 4 PUERTAS;4x4;AUDI CXYA / CONTINENTAL BSG-HP1-65;3996;338;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI b;155;21/9/2018;AUA5534A;ATE-EL LUXEMBOURG;228.0;13.8;7.9;10.1;000086A
AUDI;STATION WAGON - SUV - CROSSOVER 4 PUERTAS CON PORTÓN TRASERO;4x4;AUDI CVMD;2967;;AUTOMÁTICA;GAS OIL;EURO V;158;21/9/2018;AUA5440A;ATE-EL LUXEMBOURG;201;9.0;6.9;7.7;000090A
