Período;KmOcupadosHora;KmLibresHora;KmTotalesHora;ViajesHora
ene-16;8,15;7,13;15,28;2,34
feb-16;8,57;6,57;15,13;2,43
mar-16;8,12;6,54;14,66;2,34
abr-16;8,21;6,22;14,43;2,36
may-16;7,14;6,47;13,61;2,2
jun-16;7,3;6,31;13,6;2,22
jul-16;7,31;6,29;13,6;2,21
ago-16;7,01;6,29;13,3;2,16
sep-16;6,62;6,07;12,69;2,07
oct-16;6,68;5,96;12,64;2,01
nov-16;6,96;6,03;12,98;2,17
dic-16;7,63;5,69;13,31;2,25
ene-17;6,83;6,38;13,22;2,09
feb-17;7,11;6,17;13,28;2,18
mar-17;7,58;5,91;13,48;2,24
abr-17;7,03;6,2;13,23;2,12
may-17;6,87;6,33;13,2;2,17
jun-17;7,08;6,00;13,08;2,16
jul-17;7,19;6,28;13,47;2,25
ago-17;7,13;6,25;13,38;2,25
sep-17;7,00;6,29;13,29;2,23
oct-17;6,77;5,69;12,45;2,1
nov-17;8,36;6,56;14,92;2,11
dic-17;7,48;5,45;12,93;2,21
ene-18;6,23;6,1;12,33;2,01
feb-18;6,76;5,88;12,64;2,14
mar-18;6,66;5,73;12,39;2,15
abr-18;6,03;5,72;11,74;2,00
may-18;6,07;5,83;11,9;2,03
jun-18;5,93;5,75;11,68;2,00
jul-18;5,99;5,6;11,59;1,94
ago-18;5,83;5,55;11,39;1,94
sep-18;5,54;5,85;11,39;1,85
oct-18;5,55;5,81;11,36;1,87
nov-18;5,53;5,72;11,25;1,85
dic-18;6,11;5,52;11,64;1,94
ene-19;5,24;6,1;11,34;1,74
